t,r,y,ym,u,t1,t2,t3,ypb
49.552,0.3510567,5.920862,0,3,0,0,0,0
49.651,0.3516099,5.919415,0,3,0,0,0,0
49.751,0.3521679,5.920862,0,3,0,0,0,0
49.851,0.352725,5.919415,0,3,0,0,0,0
49.951,0.3532812,5.910011,0,3,0,0,0,0
50.051,0.3538365,5.910735,0,3,0,0,0,0
50.152,0.3543966,5.91182,0,3,0,0,0,0
50.252,0.3549502,5.910735,0,3,0,0,0,0
50.352,0.3555029,5.906394,0,3,0,0,0,0
50.451,0.3560492,5.927372,0,3,0,0,0,0
50.552,0.3566057,5.915437,0,3,0,0,0,0
50.652,0.3571558,5.923756,0,3,0,0,0,0
50.752,0.357705,5.91616,0,3,0,0,0,0
50.852,0.3582533,5.917607,0,3,0,0,0,0
50.951,0.3587953,5.921947,0,3,0,0,0,0
51.052,0.3593473,5.914713,0,3,0,0,0,0
51.152,0.3598929,5.910735,0,3,0,0,0,0
51.252,0.3604377,5.919777,0,3,0,0,0,0
