t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
29.800544,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
29.900543,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
30.000547,0.100004,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
30.100547,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
30.200548,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
30.300552,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
30.400552,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
30.500556,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
30.600555,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
30.700555,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
30.800556,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
30.900556,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
31.000560,0.100004,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
31.100559,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
31.200559,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
31.300559,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
31.400560,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
31.500564,0.100004,6.237262,0.350000,6.237262,4.000000,4.000000,6.000000
31.600563,0.100000,6.237262,0.350000,6.237262,4.000000,4.000000,6.000000
31.700567,0.100004,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
31.800567,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
31.900568,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
32.000572,0.100004,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
32.100570,0.100000,6.237262,0.350000,6.237262,4.000000,4.000000,6.000000
32.200572,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
32.300575,0.100004,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
32.400581,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
32.500583,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
32.600589,0.100004,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
32.700592,0.100004,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
32.800590,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
32.900592,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
